Latitude,Longitude
41.823851059,-87.615914628
41.811540695,-87.667490753
41.843712591,-87.708668785
41.811289674,-87.668689172
41.840303695,-87.708573496
41.719097388,-87.663442356
41.80066446,-87.587441769
41.764125869,-87.655459967
41.836921657,-87.648681468
41.989329827,-87.695715451
41.88685583,-87.626892282
41.878028593,-87.721752104
41.910126331,-87.763022398
41.894571294,-87.635651646
41.973426571,-87.691663417
41.906615036,-87.753425101
41.819536065,-87.62148774
41.916042585,-87.671891116
41.860958336,-87.639034715
42.012243041,-87.686747401
41.949574253,-87.810809234
41.792107119,-87.617530185
41.87091472,-87.661687002
41.973264324,-87.658579133
41.873904481,-87.685312698
41.815335451,-87.641846106
41.886776535,-87.649148327
41.847124934,-87.691470034
41.890389063,-87.626673392
41.953443342,-87.744957048
41.790754583,-87.739927261
41.932437089,-87.666286297
41.666317646,-87.637909217
41.751166357,-87.664670209
41.858886009,-87.65457392
41.865192955,-87.65981215
41.823125769,-87.602725951
41.901421942,-87.706743828
41.876466294,-87.660273952
41.935398847,-87.803894164
41.877611259,-87.667440596
41.809293967,-87.622298071
41.727960257,-87.660404907
41.85724205,-87.656408341
41.887419355,-87.664635782
41.842246951,-87.632987159
41.891062111,-87.617043461
41.945786539,-87.775096032
41.794533814,-87.631438536
41.81034488,-87.619619741
41.765162688,-87.624896894
41.884156374,-87.672682817
41.976290414,-87.905227221
41.962298818,-87.836693032
41.697129808,-87.634084155
41.962450202,-87.755290627
41.891849007,-87.710590965
41.744927311,-87.607486427
41.87239985,-87.703421797
41.715847304,-87.633830027
41.778921304,-87.706364915
41.883389467,-87.648574865
41.94955828,-87.647198103
41.764083357,-87.693016796
41.855547769,-87.715109481
41.877905955,-87.64987086
41.700248285,-87.532866646
41.834212796,-87.716955092
41.772346598,-87.609384271
41.973297582,-87.65583909
41.945825535,-87.655409564
41.849993569,-87.702026705
41.704268998,-87.641536012
41.743547289,-87.705873706
41.774388448,-87.637377263
41.751394232,-87.654391901
41.737158469,-87.663097148
41.76559446,-87.621050648
41.885702079,-87.642031644
41.873185004,-87.743795434
41.94604059,-87.655580051
41.736090168,-87.725115708
41.756059048,-87.654771544
41.752660991,-87.584431935
41.844714251,-87.693710851
41.894201464,-87.670504118
41.863196881,-87.614817819
41.779492755,-87.605912536
41.863196881,-87.614817819
41.927334491,-87.737443183
41.754592961,-87.741528537
41.863196881,-87.614817819
41.874363279,-87.643013039
41.89200307,-87.628076963
41.867062226,-87.622546765
41.998195946,-87.802987676
41.874987658,-87.640972145
41.765444001,-87.626906181
41.879494129,-87.745955373
41.655048672,-87.545908316
41.893960819,-87.636348792
41.959027475,-87.656262338
41.884696228,-87.75277504
41.911459602,-87.766816685
41.775436328,-87.692489613
41.977943776,-87.673314117
41.768824286,-87.645333399
41.757614433,-87.586115266
41.780649008,-87.666670175
41.854951882,-87.674084653
41.829389915,-87.606892634
41.90620807,-87.77428745
41.885721129,-87.747088202
41.78079258,-87.703794858
41.758565773,-87.563937436
41.900609783,-87.686963874
41.890120852,-87.644863369
41.766976828,-87.577550041
41.865494456,-87.709297515
41.75901316,-87.564357252
41.744832113,-87.621217883
41.88171846,-87.627760426
41.695588747,-87.619557086
41.895877613,-87.706566627
41.945910991,-87.655474824
41.855540636,-87.710234875
41.751164599,-87.612198632
41.762158469,-87.60961243
41.949953889,-87.649572294
41.895483848,-87.651890932
42.022106906,-87.674903788
41.974242434,-87.845198263
41.695982095,-87.596653142
41.761661446,-87.558237537
41.813112192,-87.610576113
41.757097528,-87.642984742
41.957592073,-87.699987884
41.947853216,-87.809514637
41.748526903,-87.663825429
41.793206643,-87.651204145
41.854886164,-87.630155032
41.921904892,-87.642636783
41.731305899,-87.666579795
41.881046784,-87.699396664
41.808526624,-87.602785488
41.862916308,-87.709564878
41.862916308,-87.709564878
41.972185214,-87.667872218
41.876634703,-87.735336725
41.936592436,-87.71850254
41.960683323,-87.785595431
41.785874909,-87.666803041
41.779992175,-87.602878472
41.69189982,-87.642367883
41.769795258,-87.64938472
41.680479383,-87.620591672
41.954285178,-87.784157616
41.778734625,-87.65933907
41.756548345,-87.565112352
41.894567964,-87.708966831
41.939935646,-87.652491107
41.768787739,-87.683358455
41.799742051,-87.619348653
41.863160559,-87.621323445
41.938901973,-87.644360956
41.880185416,-87.665559463
